Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End
PROJ-1233,Site Phase 3 Development,Infrastructure,Summit Const,1297434,2136816.9996236465,2022-12-14,114,2023-05-15
PROJ-1234,Site Phase 6 Development,COMMERCIAL,Apex Construction Inc,2930148,4601757.83040283,2023-04-18,234,2024-02-13
PROJ-1235,Site Phase 6 Development,Residential,Summit Const,1128018,1491395.920436928,2022-08-19,102,2022-12-19
PROJ-1236,Site Phase 4 Development,Residential,Apex Construction Inc,2463083,2960312.8809188795,2022-07-09,301,2023-05-21
PROJ-1237,Site Phase 2 Development,Commercial,Vertex Infra,1192668,1610868.5447175137,2022-08-13,114,2022-12-30
PROJ-1238,Site Phase 9 Development,Infrastructure,Vertex Infra,1289912,1236347.0994967625,2023-01-20,157,2023-07-04
PROJ-1239,Site Phase 2 Development,res,Vertex Infra,3929688,5046967.874267823,2023-01-12,483,2024-08-15
PROJ-1240,Site Phase 3 Development,Residential,Summit Const,1297608,1373188.4117329537,2022-10-10,156,2023-03-26
PROJ-1241,Site Phase 1 Development,Commercial,Apex Build,2505804,3730318.10249568,2024-08-15,322,2026-01-02
PROJ-1242,Site Phase 7 Development,Infrastructure,Summit Const,2808036,4574209.675629995,2023-09-25,198,2024-05-16
PROJ-1243,Site Phase 1 Development,Infrastructure,Summit Const,2974395,3902377.4411218413,2023-09-20,235,2024-06-03
PROJ-1244,Site Phase 9 Development,Commercial,Delta Partners,1984000,3449087.171698726,2024-08-30,200,2025-06-01
PROJ-1245,Site Phase 1 Development,Commercial,Delta Partners,3589708,4575286.394490394,2024-01-15,317,2025-01-31
PROJ-1246,Site Phase 5 Development,res,Summit Const,2265400,2968592.4155255565,2022-09-16,200,2023-05-13
PROJ-1247,Site Phase 7 Development,Commercial,Apex Construction Inc,1650291,2227346.851928156,2022-12-25,123,2023-06-06
PROJ-1248,Site Phase 3 Development,res,Delta Partners,1155200,,2023-12-11,200,
PROJ-1249,Site Phase 9 Development,res,Summit Const,3603424,3757563.621630686,2023-04-01,353,2024-04-07
PROJ-1250,Site Phase 8 Development,COMMERCIAL,Apex Build,2917431,5724174.170545432,2023-02-15,513,2025-03-31
PROJ-1251,Site Phase 3 Development,Infrastructure,Apex Construction Inc,2532282,4328678.839168107,2023-10-11,458,2025-07-04
PROJ-1252,Site Phase 5 Development,Infrastructure,Vertex Infra,3271775,4429974.936477336,2022-11-14,325,2023-11-24
PROJ-1253,Site Phase 7 Development,Infrastructure,Summit Const,2249760,2946059.3781726356,2023-11-08,172,2024-05-24
PROJ-1254,Site Phase 4 Development,COMMERCIAL,Summit Const,1377858,2734600.8424697835,2022-08-13,131,2023-02-20
PROJ-1255,Site Phase 5 Development,res,Apex Construction Inc,3676642,3502968.5108020026,2024-03-29,514,2025-09-03
PROJ-1256,Site Phase 3 Development,res,Delta Partners,2752340,3104377.088198139,2022-08-22,190,2023-03-16
PROJ-1257,Site Phase 9 Development,Commercial,Delta Partners,1053930,1335678.990660756,2023-11-15,95,2024-03-06
PROJ-1258,Site Phase 9 Development,COMMERCIAL,Delta Partners,3221006,4607373.034639952,2023-10-26,269,2024-08-19
PROJ-1259,Site Phase 7 Development,Commercial,Vertex Infra,5460378,,2024-09-01,371,
PROJ-1260,Site Phase 2 Development,COMMERCIAL,Apex Construction Inc,3997566,4846759.807530449,2024-04-06,409,2025-08-05
PROJ-1261,Site Phase 7 Development,Commercial,Apex Construction Inc,3997980,6499952.113152188,2023-01-09,315,2024-01-27
PROJ-1262,Site Phase 7 Development,Residential,Delta Partners,4310796,6032409.952461401,2023-11-03,532,2025-05-22
PROJ-1263,Site Phase 5 Development,Infrastructure,Delta Partners,3935760,4157512.4866135092,2023-08-31,529,2025-03-05
PROJ-1264,Site Phase 9 Development,Infrastructure,Apex Build,3690540,4359725.977066018,2023-04-17,404,2024-06-24
PROJ-1265,Site Phase 3 Development,res,Apex Build,5504296,,2022-08-21,454,
PROJ-1266,Site Phase 4 Development,Residential,Summit Const,3243918,4662033.477020686,2023-11-23,318,2024-10-17
PROJ-1267,Site Phase 1 Development,Infrastructure,Summit Const,2723304,3287678.3651509522,2022-04-23,466,2023-11-12
PROJ-1268,Site Phase 6 Development,res,Apex Construction Inc,2058588,2979630.512389013,2024-04-09,378,2025-06-04
PROJ-1269,Site Phase 4 Development,Residential,Apex Construction Inc,4689290,5327371.853118917,2023-05-12,526,2024-11-22
PROJ-1270,Site Phase 1 Development,Infrastructure,Vertex Infra,1938051,3057901.3174509336,2023-03-18,239,2024-01-10
PROJ-1271,Site Phase 2 Development,Commercial,Vertex Infra,2281644,2795588.8173573907,2023-07-18,366,2024-08-25
PROJ-1272,Site Phase 3 Development,COMMERCIAL,Apex Build,3325469,5360041.614882497,2022-09-25,287,2023-10-19
PROJ-1273,Site Phase 9 Development,Residential,Summit Const,830934,1884849.9904541234,2023-05-25,159,2024-02-23
PROJ-1274,Site Phase 8 Development,res,Apex Build,1837743,2809566.5197564224,2024-03-17,201,2024-11-08
PROJ-1275,Site Phase 7 Development,Residential,Apex Build,1133205,1981912.3559773057,2023-01-21,93,2023-05-23
PROJ-1276,Site Phase 4 Development,res,Summit Const,4634962,4721938.452897833,2023-01-22,439,2024-05-17
PROJ-1277,Site Phase 1 Development,Residential,Vertex Infra,2178120,3437723.928705055,2022-04-23,420,2023-10-07
PROJ-1278,Site Phase 8 Development,res,Summit Const,4031225,4078367.562523977,2023-09-05,535,2025-03-16
PROJ-1279,Site Phase 4 Development,Infrastructure,Delta Partners,2821324,3456012.220538316,2023-09-17,407,2024-12-10
PROJ-1280,Site Phase 3 Development,Commercial,Delta Partners,6163560,8144622.792799853,2024-08-09,439,2025-12-16
PROJ-1281,Site Phase 9 Development,Infrastructure,Delta Partners,1293888,1912973.5110073546,2022-03-22,184,2022-11-24
PROJ-1282,Site Phase 4 Development,Commercial,Apex Construction Inc,1506732,1921543.1161184534,2023-11-30,241,2024-08-21
PROJ-1283,Site Phase 4 Development,Infrastructure,Vertex Infra,4203600,6862260.277634953,2022-04-23,400,2023-08-03
PROJ-1284,Site Phase 9 Development,Infrastructure,Vertex Infra,2276724,3333709.846336704,2022-01-02,226,2022-12-10
PROJ-1285,Site Phase 2 Development,Residential,Apex Construction Inc,2312016,3074567.15515677,2023-10-04,336,2024-09-29
PROJ-1286,Site Phase 5 Development,COMMERCIAL,Apex Build,2508044,2846399.356603909,2022-08-08,476,2023-12-13
PROJ-1287,Site Phase 4 Development,res,Delta Partners,2201160,3184739.959238764,2023-07-20,332,2024-11-28
PROJ-1288,Site Phase 9 Development,res,Delta Partners,1128600,1215846.6711293352,2024-05-04,120,2024-09-13
PROJ-1289,Site Phase 5 Development,res,Apex Build,1436931,3383968.9209169266,2024-09-23,129,2025-05-02
PROJ-1290,Site Phase 9 Development,Commercial,Summit Const,2090532,3153210.3428495787,2024-01-06,318,2024-12-29
PROJ-1291,Site Phase 9 Development,res,Summit Const,836875,,2022-08-13,125,
PROJ-1292,Site Phase 2 Development,res,Vertex Infra,4104226,6950322.015328941,2023-01-20,497,2024-09-14
PROJ-1293,Site Phase 9 Development,Residential,Apex Construction Inc,2577744,2812462.9470064384,2023-02-07,312,2024-01-12
PROJ-1294,Site Phase 3 Development,Infrastructure,Vertex Infra,612275,944642.8439931738,2023-09-30,95,2024-02-13
PROJ-1295,Site Phase 4 Development,res,Summit Const,4629093,6048852.030654521,2022-05-10,411,2023-07-19
PROJ-1296,Site Phase 1 Development,COMMERCIAL,Apex Build,4143999,5482425.579310735,2022-02-22,309,2023-02-15
PROJ-1297,Site Phase 1 Development,res,Vertex Infra,828528,1081504.8285335384,2023-11-15,164,2024-05-26
PROJ-1298,Site Phase 1 Development,Commercial,Delta Partners,1390257,,2023-12-31,93,
PROJ-1299,Site Phase 9 Development,Commercial,Delta Partners,4481680,,2023-11-03,424,
PROJ-1300,Site Phase 8 Development,Commercial,Apex Build,2805117,3824971.4865745394,2023-12-11,223,2024-08-23
PROJ-1301,Site Phase 5 Development,res,Summit Const,1379862,1765135.5194527502,2023-02-20,207,2023-11-17
PROJ-1302,Site Phase 5 Development,Residential,Delta Partners,5450658,6529188.157223127,2022-09-04,458,2023-12-31
PROJ-1303,Site Phase 9 Development,COMMERCIAL,Delta Partners,1424655,,2024-04-15,183,
PROJ-1304,Site Phase 3 Development,res,Apex Construction Inc,2996756,3660031.170703302,2023-03-15,524,2024-09-05
PROJ-1305,Site Phase 3 Development,Residential,Vertex Infra,2053147,4304699.831569607,2022-07-22,151,2023-06-02
PROJ-1306,Site Phase 7 Development,Residential,Summit Const,6283150,8423746.345764665,2022-07-03,530,2024-01-13
PROJ-1307,Site Phase 9 Development,res,Vertex Infra,2064202,2036889.3362366068,2022-05-03,283,2023-03-05
PROJ-1308,Site Phase 6 Development,res,Summit Const,5623512,6258918.143115103,2023-02-05,424,2024-04-18
PROJ-1309,Site Phase 2 Development,Residential,Delta Partners,4210932,5934874.833422914,2024-02-06,292,2024-12-21
PROJ-1310,Site Phase 1 Development,Residential,Apex Construction Inc,7099079,9105949.557304595,2022-10-21,481,2024-03-26
PROJ-1311,Site Phase 2 Development,Residential,Vertex Infra,1090430,1407163.8373248945,2022-10-07,115,2023-02-28
PROJ-1312,Site Phase 1 Development,res,Delta Partners,2985752,4335954.07657509,2024-04-16,524,2025-12-17
PROJ-1313,Site Phase 9 Development,Residential,Summit Const,3207666,4362087.083060073,2024-06-02,262,2025-03-30
PROJ-1314,Site Phase 8 Development,Commercial,Vertex Infra,5453002,7478996.369517404,2023-09-02,389,2024-10-17
PROJ-1315,Site Phase 7 Development,res,Vertex Infra,2423796,3722610.9701893562,2022-07-17,222,2023-04-12
PROJ-1316,Site Phase 3 Development,Commercial,Delta Partners,2219420,3093421.720091948,2024-09-08,415,2026-01-01
PROJ-1317,Site Phase 8 Development,Infrastructure,Vertex Infra,5176626,6159895.575353503,2024-06-25,499,2025-11-26
PROJ-1318,Site Phase 2 Development,res,Apex Construction Inc,2663883,2811227.6475993358,2023-05-26,207,2024-01-07
PROJ-1319,Site Phase 2 Development,Infrastructure,Apex Construction Inc,2191791,2346521.5329093533,2024-01-22,413,2025-03-26
PROJ-1320,Site Phase 3 Development,Residential,Delta Partners,3063424,3977975.46794695,2022-05-24,364,2023-07-24
PROJ-1321,Site Phase 7 Development,Residential,Summit Const,2955820,4182098.622216486,2023-09-01,301,2024-08-21
PROJ-1322,Site Phase 1 Development,COMMERCIAL,Delta Partners,2687212,3524526.704837999,2022-07-20,314,2023-07-11
PROJ-1323,Site Phase 8 Development,Residential,Apex Construction Inc,1033102,1969285.3872359195,2022-05-04,109,2022-11-19
PROJ-1324,Site Phase 7 Development,Infrastructure,Apex Build,2329262,2978738.6928832605,2022-07-06,202,2023-04-18
PROJ-1325,Site Phase 4 Development,Residential,Apex Build,2202980,2937946.2348532155,2022-11-22,229,2023-08-15
PROJ-1326,Site Phase 5 Development,res,Vertex Infra,1085960,2081715.4398336885,2023-04-09,136,2023-12-15
PROJ-1327,Site Phase 1 Development,Residential,Vertex Infra,1180080,1811241.230120951,2022-12-15,90,2023-04-03
PROJ-1328,Site Phase 4 Development,COMMERCIAL,Apex Build,2410593,2456308.43543976,2024-02-10,179,2024-08-28
PROJ-1329,Site Phase 1 Development,Residential,Apex Construction Inc,1743357,2276784.379728488,2023-10-22,231,2024-07-01
PROJ-1330,Site Phase 1 Development,Infrastructure,Vertex Infra,2182424,3093929.131376795,2024-02-03,409,2025-04-01
PROJ-1331,Site Phase 1 Development,Infrastructure,Delta Partners,1013333,1402089.2272631563,2024-08-12,127,2025-02-06
PROJ-1332,Site Phase 7 Development,Residential,Delta Partners,3425776,5306945.760909873,2024-07-20,382,2025-12-23
PROJ-1333,Site Phase 7 Development,Infrastructure,Apex Construction Inc,2783610,2688382.105179249,2023-02-07,471,2024-06-02
PROJ-1334,Site Phase 4 Development,Infrastructure,Vertex Infra,1595088,2061863.5849689215,2022-12-12,228,2023-08-12
PROJ-1335,Site Phase 2 Development,COMMERCIAL,Delta Partners,3617405,4652669.439686496,2024-08-20,445,2025-12-20
PROJ-1336,Site Phase 3 Development,res,Vertex Infra,4408634,6514548.205885037,2023-05-26,422,2024-12-11
PROJ-1337,Site Phase 8 Development,COMMERCIAL,Vertex Infra,3872892,4856905.715932477,2022-05-27,348,2023-06-07
PROJ-1338,Site Phase 8 Development,Commercial,Delta Partners,2712500,4403304.174180508,2022-05-28,250,2023-03-25
PROJ-1339,Site Phase 6 Development,COMMERCIAL,Apex Build,4408716,4492416.779446175,2024-05-13,479,2025-09-14
PROJ-1340,Site Phase 9 Development,Residential,Delta Partners,3323082,3266443.859426604,2023-12-12,267,2024-09-25
PROJ-1341,Site Phase 9 Development,res,Apex Construction Inc,1338381,5541389.3267420605,2024-03-30,99,2025-02-01
PROJ-1342,Site Phase 4 Development,Residential,Summit Const,5246850,9051381.994247586,2023-05-04,350,2024-09-23
PROJ-1343,Site Phase 1 Development,Commercial,Delta Partners,2635744,3588837.917113382,2024-07-17,496,2025-12-01
PROJ-1344,Site Phase 1 Development,res,Vertex Infra,1392418,2786192.349078908,2024-07-24,227,2025-08-07
PROJ-1345,Site Phase 5 Development,Infrastructure,Vertex Infra,2577636,4047138.2951373975,2023-10-02,261,2024-08-11
PROJ-1346,Site Phase 2 Development,COMMERCIAL,Delta Partners,6223450,8340363.006106896,2023-07-05,475,2025-01-26
PROJ-1347,Site Phase 6 Development,Residential,Summit Const,1500624,2532163.903365128,2022-12-04,102,2023-04-18
PROJ-1348,Site Phase 7 Development,Commercial,Delta Partners,3430179,5359222.739869677,2024-05-21,257,2025-03-13
PROJ-1349,Site Phase 1 Development,Infrastructure,Summit Const,2319648,3304006.725774547,2023-10-03,219,2024-06-22
PROJ-1350,Site Phase 6 Development,COMMERCIAL,Summit Const,1163252,1564958.923904819,2024-02-18,173,2024-10-10
PROJ-1351,Site Phase 8 Development,Infrastructure,Apex Construction Inc,3420630,3710895.3779723435,2024-09-14,410,2025-11-18
PROJ-1352,Site Phase 5 Development,COMMERCIAL,Vertex Infra,2401488,,2024-08-10,408,
PROJ-1353,Site Phase 7 Development,res,Vertex Infra,1086990,1247122.3543442073,2023-04-18,190,2023-11-17
PROJ-1354,Site Phase 6 Development,Infrastructure,Summit Const,5299404,6489347.821250003,2024-08-03,418,2025-12-02
PROJ-1355,Site Phase 4 Development,Infrastructure,Vertex Infra,5105648,6444060.544103191,2022-05-31,362,2023-06-23
PROJ-1356,Site Phase 7 Development,Infrastructure,Apex Build,2958378,4160919.000888998,2023-02-19,354,2024-04-11
PROJ-1357,Site Phase 9 Development,res,Summit Const,2864560,4293348.330107744,2024-09-16,488,2026-07-05
PROJ-1358,Site Phase 7 Development,Commercial,Vertex Infra,5840247,7195245.029461521,2022-10-25,497,2024-03-15
PROJ-1359,Site Phase 5 Development,COMMERCIAL,Apex Build,698119,972243.6324120536,2023-09-03,127,2024-03-09
PROJ-1360,Site Phase 7 Development,Infrastructure,Apex Construction Inc,3432048,3443552.2789825313,2022-09-20,508,2024-03-13
PROJ-1361,Site Phase 3 Development,res,Vertex Infra,1119411,1712758.6748791072,2024-02-03,183,2024-11-13
PROJ-1362,Site Phase 2 Development,Commercial,Apex Build,1440352,1760153.3335020023,2022-05-24,184,2022-12-04
PROJ-1363,Site Phase 5 Development,COMMERCIAL,Delta Partners,2618918,2998693.068964923,2022-12-12,394,2024-03-04
PROJ-1364,Site Phase 4 Development,res,Delta Partners,1894736,3097860.5742686903,2023-09-16,158,2024-05-21
PROJ-1365,Site Phase 5 Development,COMMERCIAL,Apex Build,4790797,7044768.01132911,2023-07-26,407,2025-01-20
PROJ-1366,Site Phase 8 Development,Infrastructure,Summit Const,2740686,3995489.143874258,2024-05-30,533,2026-01-15
PROJ-1367,Site Phase 4 Development,Commercial,Summit Const,2522325,2569122.5867195963,2022-01-02,325,2023-01-02
PROJ-1368,Site Phase 9 Development,res,Vertex Infra,4411505,5950226.980424423,2024-06-15,523,2026-01-12
PROJ-1369,Site Phase 7 Development,Commercial,Delta Partners,4916106,7560680.082029399,2022-10-31,423,2024-04-10
PROJ-1370,Site Phase 7 Development,Infrastructure,Summit Const,5575878,7950565.271426994,2022-09-11,462,2024-01-31
PROJ-1371,Site Phase 8 Development,Commercial,Summit Const,4423080,6173562.164631153,2023-10-14,465,2025-01-31
PROJ-1372,Site Phase 6 Development,Commercial,Delta Partners,1547648,2262271.1741132597,2023-03-29,226,2024-03-26
PROJ-1373,Site Phase 8 Development,Residential,Apex Construction Inc,3901872,4277832.868625653,2022-02-06,507,2023-08-29
PROJ-1374,Site Phase 3 Development,Commercial,Summit Const,1108305,2020817.4092034996,2022-06-09,165,2023-01-19
PROJ-1375,Site Phase 1 Development,COMMERCIAL,Apex Build,1000928,1321730.2329630852,2022-01-09,124,2022-06-03
PROJ-1376,Site Phase 6 Development,res,Vertex Infra,1283310,2478177.2971605905,2022-08-21,90,2023-01-15
PROJ-1377,Site Phase 1 Development,Residential,Summit Const,2997610,3960077.30539091,2022-04-09,385,2023-05-27
PROJ-1378,Site Phase 9 Development,res,Summit Const,3595519,5023395.876887924,2023-10-21,409,2025-01-24
PROJ-1379,Site Phase 2 Development,res,Apex Construction Inc,7167600,10007567.063125828,2024-03-26,495,2025-08-14
PROJ-1380,Site Phase 2 Development,Infrastructure,Apex Build,1321779,2617638.388736116,2022-07-27,149,2023-02-23
PROJ-1381,Site Phase 7 Development,Infrastructure,Vertex Infra,2783654,6432071.879660992,2022-05-11,409,2024-05-30
PROJ-1382,Site Phase 2 Development,Residential,Summit Const,2848752,3047651.8741784827,2023-02-08,438,2024-05-02
PROJ-1383,Site Phase 8 Development,Infrastructure,Vertex Infra,3464436,6679014.887478421,2022-06-01,417,2024-01-22
PROJ-1384,Site Phase 6 Development,Infrastructure,Delta Partners,4313652,4346959.905369139,2022-02-23,356,2023-03-18
PROJ-1385,Site Phase 7 Development,Infrastructure,Summit Const,4521600,5663303.363687015,2022-04-30,450,2023-11-06
PROJ-1386,Site Phase 7 Development,res,Summit Const,4217634,6940432.7935199225,2023-11-04,318,2024-11-26
PROJ-1387,Site Phase 6 Development,Residential,Delta Partners,2401710,2792452.0100146546,2024-07-08,359,2025-08-18
PROJ-1388,Site Phase 9 Development,res,Apex Construction Inc,5887080,6975893.653132163,2023-09-20,405,2025-01-07
PROJ-1389,Site Phase 9 Development,COMMERCIAL,Summit Const,3113625,3854094.906991962,2023-08-10,375,2024-12-01
PROJ-1390,Site Phase 7 Development,res,Vertex Infra,3082940,4368608.17218236,2023-09-17,380,2024-10-26
PROJ-1391,Site Phase 9 Development,COMMERCIAL,Apex Build,4250348,,2024-08-25,302,
PROJ-1392,Site Phase 3 Development,Commercial,Vertex Infra,3263900,4913467.34835349,2023-02-24,254,2023-12-30
PROJ-1393,Site Phase 3 Development,Commercial,Apex Construction Inc,1073104,2083379.3747337481,2023-02-26,94,2023-08-24
PROJ-1394,Site Phase 1 Development,COMMERCIAL,Apex Build,2783712,4176011.219462495,2022-04-14,428,2023-08-29
PROJ-1395,Site Phase 5 Development,COMMERCIAL,Vertex Infra,6516432,9873808.266630476,2024-05-01,468,2025-11-06
PROJ-1396,Site Phase 4 Development,res,Vertex Infra,2494980,3361375.843411845,2022-09-11,167,2023-04-12
PROJ-1397,Site Phase 2 Development,COMMERCIAL,Delta Partners,4453076,5711294.1610167995,2022-08-15,499,2024-03-16
PROJ-1398,Site Phase 9 Development,Residential,Apex Construction Inc,2055865,2229997.549867793,2022-04-22,151,2022-10-02
PROJ-1399,Site Phase 3 Development,Commercial,Delta Partners,3267043,5479627.864638963,2023-05-25,221,2024-02-16
PROJ-1400,Site Phase 8 Development,Commercial,Apex Build,1688330,2110885.1803493123,2023-04-18,178,2023-10-17
PROJ-1401,Site Phase 6 Development,COMMERCIAL,Delta Partners,4270600,6394320.683471125,2022-04-09,326,2023-04-01
PROJ-1402,Site Phase 5 Development,Infrastructure,Apex Construction Inc,1792604,2374575.0417692373,2022-06-02,131,2022-11-14
PROJ-1403,Site Phase 1 Development,Infrastructure,Summit Const,923998,1427376.4451775698,2024-05-10,178,2024-12-09
PROJ-1404,Site Phase 4 Development,COMMERCIAL,Summit Const,6721790,9747632.841652038,2024-07-02,491,2026-01-08
PROJ-1405,Site Phase 3 Development,Residential,Apex Build,3818045,5226111.934557044,2024-06-14,385,2025-08-11
PROJ-1406,Site Phase 1 Development,Infrastructure,Summit Const,4516527,6709838.4060096955,2024-05-27,417,2025-08-18
PROJ-1407,Site Phase 5 Development,COMMERCIAL,Delta Partners,5548032,6433574.961701002,2022-12-04,384,2024-01-14
PROJ-1408,Site Phase 6 Development,Residential,Apex Build,1799146,1979796.157955409,2023-12-07,193,2024-07-14
PROJ-1409,Site Phase 2 Development,Residential,Apex Construction Inc,1235897,1912943.231833482,2024-04-01,103,2024-08-08
PROJ-1410,Site Phase 3 Development,res,Apex Build,5281016,6749523.906008635,2022-06-12,377,2023-06-28
PROJ-1411,Site Phase 6 Development,Residential,Apex Build,3291576,4652693.787133776,2023-12-21,268,2024-11-04
PROJ-1412,Site Phase 4 Development,Infrastructure,Vertex Infra,3138310,4046622.855385173,2024-08-14,214,2025-05-16
PROJ-1413,Site Phase 9 Development,Infrastructure,Vertex Infra,7296058,9196394.630875839,2023-11-12,511,2025-05-24
PROJ-1414,Site Phase 5 Development,COMMERCIAL,Apex Build,3038308,3455567.7553039347,2024-09-22,442,2026-01-11
PROJ-1415,Site Phase 4 Development,COMMERCIAL,Summit Const,1574944,2239568.353814218,2022-06-10,112,2022-10-31
PROJ-1416,Site Phase 2 Development,Residential,Vertex Infra,1483976,3055701.626364346,2023-08-03,152,2024-04-15
PROJ-1417,Site Phase 6 Development,Commercial,Apex Construction Inc,3123648,4609149.739256774,2024-03-11,232,2024-12-05
PROJ-1418,Site Phase 2 Development,res,Delta Partners,3441482,4002687.025109158,2023-02-02,242,2023-11-06
PROJ-1419,Site Phase 7 Development,Commercial,Vertex Infra,1415934,1668052.9696593394,2022-10-04,234,2023-06-11
PROJ-1420,Site Phase 3 Development,Residential,Apex Build,4636210,5208974.586565386,2024-03-26,314,2025-03-02
PROJ-1421,Site Phase 9 Development,Residential,Summit Const,6757982,7091652.6184118325,2024-07-04,539,2026-01-21
PROJ-1422,Site Phase 5 Development,Commercial,Delta Partners,4939578,6957544.876858931,2023-05-19,398,2024-07-26
PROJ-1423,Site Phase 8 Development,res,Vertex Infra,2184760,3664914.4898726963,2024-06-14,193,2025-02-08
PROJ-1424,Site Phase 6 Development,Commercial,Summit Const,1371265,1865759.461193959,2023-01-27,193,2023-09-26
PROJ-1425,Site Phase 8 Development,COMMERCIAL,Summit Const,2780868,3872336.2539723516,2022-05-15,524,2023-12-08
PROJ-1426,Site Phase 3 Development,Infrastructure,Summit Const,1630336,3469514.5290640844,2022-07-14,128,2023-02-01
PROJ-1427,Site Phase 3 Development,COMMERCIAL,Apex Build,4380116,6790518.348677417,2023-02-05,524,2024-10-11
PROJ-1428,Site Phase 5 Development,Infrastructure,Apex Construction Inc,2346512,2853220.878586621,2023-10-02,287,2024-09-18
PROJ-1429,Site Phase 3 Development,Residential,Summit Const,1393973,3239161.1436519236,2022-02-02,223,2023-02-13
PROJ-1430,Site Phase 8 Development,res,Delta Partners,1617096,1872764.5224638202,2023-11-19,156,2024-05-03
PROJ-1431,Site Phase 8 Development,Commercial,Vertex Infra,3128160,3548094.2884673867,2023-04-05,480,2024-08-26
PROJ-1432,Site Phase 2 Development,res,Delta Partners,3008568,2989794.533442912,2024-08-12,268,2025-05-25
PROJ-1433,Site Phase 4 Development,Commercial,Apex Build,1349955,2132091.265252349,2024-06-01,131,2024-11-29
PROJ-1434,Site Phase 1 Development,COMMERCIAL,Apex Build,7824090,9067471.051843597,2023-04-15,537,2025-01-26
PROJ-1435,Site Phase 4 Development,COMMERCIAL,Delta Partners,1130376,1358200.3381332718,2023-01-10,104,2023-05-12
PROJ-1436,Site Phase 4 Development,Commercial,Apex Construction Inc,2607800,4526861.634616667,2022-01-22,200,2022-12-16
PROJ-1437,Site Phase 9 Development,res,Apex Build,2433186,3341605.2009524833,2024-01-20,246,2024-10-05
PROJ-1438,Site Phase 3 Development,Commercial,Apex Build,3776976,,2023-11-01,378,
PROJ-1439,Site Phase 2 Development,Residential,Delta Partners,2227520,2590442.4423453244,2022-02-07,320,2023-01-27
PROJ-1440,Site Phase 9 Development,COMMERCIAL,Apex Build,3931500,5383125.906791617,2022-08-18,500,2024-01-15
PROJ-1441,Site Phase 9 Development,Residential,Apex Construction Inc,5905927,8432511.129883511,2022-12-31,509,2024-06-30
PROJ-1442,Site Phase 1 Development,COMMERCIAL,Apex Construction Inc,2353482,3275558.088251333,2023-07-17,246,2024-04-09
PROJ-1443,Site Phase 6 Development,COMMERCIAL,Apex Construction Inc,1462151,1703334.8644219157,2023-03-14,127,2023-08-13
PROJ-1444,Site Phase 8 Development,Infrastructure,Vertex Infra,4772650,6256674.668939157,2024-02-15,530,2025-08-26
PROJ-1445,Site Phase 3 Development,Residential,Apex Construction Inc,2625204,5191598.132763679,2022-10-10,186,2023-07-05
PROJ-1446,Site Phase 9 Development,Residential,Apex Construction Inc,2591500,3409756.934884296,2022-01-27,500,2023-07-11
PROJ-1447,Site Phase 2 Development,Infrastructure,Vertex Infra,6734640,7531290.096172608,2022-08-14,528,2024-02-19
PROJ-1448,Site Phase 6 Development,res,Summit Const,3159324,4066773.169270877,2022-10-04,378,2023-12-01
PROJ-1449,Site Phase 1 Development,Residential,Apex Build,3983945,,2024-03-08,343,
PROJ-1450,Site Phase 7 Development,Commercial,Apex Construction Inc,4158150,5090394.561765679,2023-09-01,285,2024-06-29
PROJ-1451,Site Phase 3 Development,Infrastructure,Apex Build,2064475,2276293.327786825,2022-10-11,175,2023-04-30
PROJ-1452,Site Phase 7 Development,Residential,Delta Partners,5642208,6277290.891878806,2024-05-28,411,2025-08-04
PROJ-1453,Site Phase 4 Development,res,Apex Build,1255122,1913604.2587708188,2024-08-17,99,2024-12-11
PROJ-1454,Site Phase 9 Development,Residential,Vertex Infra,1005612,,2023-04-26,94,
PROJ-1455,Site Phase 5 Development,COMMERCIAL,Apex Build,1329876,1415787.581758686,2023-03-29,212,2023-11-17
PROJ-1456,Site Phase 3 Development,Commercial,Apex Build,4882607,7376919.449911537,2024-04-08,419,2025-07-12
PROJ-1457,Site Phase 8 Development,Infrastructure,Apex Build,2694432,3361121.3937069266,2024-03-26,442,2025-08-26
PROJ-1458,Site Phase 6 Development,COMMERCIAL,Summit Const,3000879,3926577.8497417173,2023-10-21,207,2024-05-28
PROJ-1459,Site Phase 2 Development,res,Summit Const,5402981,7775697.024146355,2023-05-31,383,2024-08-05
PROJ-1460,Site Phase 3 Development,COMMERCIAL,Delta Partners,6318972,8727854.910289772,2023-07-01,486,2024-11-26
PROJ-1461,Site Phase 8 Development,COMMERCIAL,Vertex Infra,2293256,5255719.131772017,2022-07-11,248,2023-08-29
PROJ-1462,Site Phase 7 Development,res,Apex Build,5574240,6429783.218215549,2022-02-18,392,2023-04-22
PROJ-1463,Site Phase 6 Development,COMMERCIAL,Apex Build,3269538,5456547.278876701,2023-05-27,317,2024-06-28
PROJ-1464,Site Phase 1 Development,Infrastructure,Apex Build,3792716,4082740.0350004365,2022-01-17,454,2023-06-07
PROJ-1465,Site Phase 9 Development,Residential,Apex Build,1607350,2118851.2750255913,2022-06-21,305,2023-05-08
PROJ-1466,Site Phase 3 Development,COMMERCIAL,Summit Const,3247650,4599467.213671254,2022-08-08,525,2024-03-15
PROJ-1467,Site Phase 5 Development,Infrastructure,Delta Partners,3086265,5770196.215806871,2022-06-07,273,2023-07-24
