Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End,Actual_Duration_Days,Cost_Variance,Schedule_Variance,CPI,Is_Over_Budget
PROJ-1162,Site Phase 8 Development,RESIDENTIAL,Apex Build,4550826,4898045.6616098285,2023-02-11,322,2024-02-21,375,-347219.6616098285,-53,0.9291105707055192,1
PROJ-1163,Site Phase 4 Development,COMMERCIAL,Apex Build,1097466,1651504.6493918346,2023-07-28,101,2023-11-21,116,-554038.6493918346,-15,0.6645249230174078,1
PROJ-1164,Site Phase 8 Development,COMMERCIAL,Summit Const,3291210,4411338.595794102,2023-12-29,435,2025-03-17,444,-1120128.5957941022,-9,0.7460796600691534,1
PROJ-1165,Site Phase 6 Development,RESIDENTIAL,Delta Partners,806625,1769269.5433550116,2024-03-15,135,2024-11-18,248,-962644.5433550116,-113,0.4559084866573929,1
PROJ-1166,Site Phase 5 Development,INFRASTRUCTURE,Apex Build,1502076,2300698.0919751166,2022-04-09,123,2022-10-01,175,-798622.0919751166,-52,0.6528783612414305,1
PROJ-1167,Site Phase 4 Development,COMMERCIAL,Vertex Infra,7384212,10904242.76787794,2023-11-15,522,2025-06-30,593,-3520030.76787794,-71,0.6771870506911899,1
PROJ-1168,Site Phase 4 Development,RESIDENTIAL,Apex Build,1045754,1533485.2155193747,2024-05-21,167,2024-12-15,208,-487731.2155193747,-41,0.6819459290618688,1
PROJ-1169,Site Phase 4 Development,RESIDENTIAL,Delta Partners,3084429,4168473.220832317,2023-12-27,307,2024-11-07,316,-1084044.2208323171,-9,0.7399421410662519,1
PROJ-1170,Site Phase 9 Development,RESIDENTIAL,Apex Build,5512650,6890918.34164878,2024-09-13,390,2025-10-19,401,-1378268.3416487798,-11,0.7999877123316769,1
PROJ-1171,Site Phase 4 Development,COMMERCIAL,Apex Build,6191000,8928030.29084052,2023-07-01,500,2025-01-09,558,-2737030.2908405196,-58,0.6934340272513967,1
PROJ-1172,Site Phase 9 Development,RESIDENTIAL,Summit Const,1819422,2639949.5757292085,2024-08-18,162,2025-03-02,196,-820527.5757292085,-34,0.6891881635646159,1
PROJ-1174,Site Phase 7 Development,COMMERCIAL,Apex Build,3592940,5614198.7000293415,2023-09-05,338,2024-09-22,383,-2021258.7000293415,-45,0.6399737864606079,1
PROJ-1175,Site Phase 3 Development,RESIDENTIAL,Apex Build,987224,1240572.6036000738,2024-07-31,136,2024-12-24,146,-253348.60360007384,-10,0.7957809136967317,1
PROJ-1176,Site Phase 8 Development,COMMERCIAL,Apex Build,1313970,1963848.1878348133,2023-04-07,210,2023-12-24,261,-649878.1878348133,-51,0.6690792130162981,1
PROJ-1177,Site Phase 3 Development,COMMERCIAL,Apex Build,1655592,1876790.5584995728,2023-10-05,303,2024-09-09,340,-221198.5584995728,-37,0.8821399875986092,1
PROJ-1178,Site Phase 1 Development,INFRASTRUCTURE,Vertex Infra,2720432,4134320.44156327,2024-02-08,328,2025-03-25,411,-1413888.44156327,-83,0.6580118881572106,1
PROJ-1179,Site Phase 5 Development,COMMERCIAL,Apex Build,1707230,2373481.2195260352,2022-01-05,145,2022-06-24,170,-666251.2195260352,-25,0.7192936628084716,1
PROJ-1180,Site Phase 2 Development,COMMERCIAL,Vertex Infra,5457209,5822952.165471555,2022-08-06,439,2023-11-21,472,-365743.16547155473,-33,0.937189392068115,1
PROJ-1181,Site Phase 6 Development,COMMERCIAL,Apex Build,1221080,1187485.8306922838,2023-05-18,196,2023-12-09,205,33594.16930771619,-9,1.0282901643450613,0
PROJ-1182,Site Phase 9 Development,INFRASTRUCTURE,Vertex Infra,5743008,7039502.451135464,2024-02-06,408,2025-03-28,416,-1296494.451135464,-8,0.8158258399460688,1
PROJ-1183,Site Phase 1 Development,RESIDENTIAL,Vertex Infra,1206285,1918731.3866885137,2023-02-02,137,2023-07-22,170,-712446.3866885137,-33,0.628688834908723,1
PROJ-1184,Site Phase 4 Development,COMMERCIAL,Summit Const,1712850,2507171.96405577,2024-05-20,150,2024-11-25,189,-794321.9640557701,-39,0.6831801027438017,1
PROJ-1185,Site Phase 1 Development,INFRASTRUCTURE,Apex Build,4579500,5076558.733269382,2024-03-05,426,2025-06-14,466,-497058.73326938227,-40,0.9020874652721158,1
PROJ-1186,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1018440,1529046.3037915465,2023-01-28,115,2023-06-17,140,-510606.3037915465,-25,0.6660622359666899,1
PROJ-1188,Site Phase 2 Development,COMMERCIAL,Delta Partners,4135738,5922057.058443005,2022-01-15,346,2023-04-02,442,-1786319.0584430052,-96,0.6983617278904344,1
PROJ-1189,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1369252,2369622.6813127045,2024-05-07,97,2024-10-25,171,-1000370.6813127045,-74,0.5778354549009772,1
PROJ-1190,Site Phase 8 Development,COMMERCIAL,Apex Build,2228868,2255341.68044766,2023-07-08,202,2024-01-30,206,-26473.68044765992,-4,0.9882617872594784,1
PROJ-1191,Site Phase 4 Development,RESIDENTIAL,Summit Const,4257516,4550399.212799288,2024-06-10,444,2025-09-27,474,-292883.21279928833,-30,0.9356357103843832,1
PROJ-1192,Site Phase 3 Development,RESIDENTIAL,Apex Build,2238732,2583710.2833714834,2023-04-06,342,2024-04-01,361,-344978.28337148344,-19,0.8664795021362375,1
PROJ-1193,Site Phase 4 Development,RESIDENTIAL,Summit Const,2976485,2970031.668652506,2023-11-22,269,2024-09-07,290,6453.3313474939205,-21,1.0021728156691412,0
PROJ-1194,Site Phase 5 Development,COMMERCIAL,Delta Partners,1803824,3375125.013713524,2023-07-29,296,2024-12-14,504,-1571301.0137135242,-208,0.5344465738812204,1
PROJ-1195,Site Phase 1 Development,RESIDENTIAL,Vertex Infra,2905112,3563469.2892379467,2024-05-13,392,2025-07-03,416,-658357.2892379467,-24,0.8152482213818272,1
PROJ-1196,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1645272,2269636.7602007985,2024-01-13,216,2024-09-30,261,-624364.7602007985,-45,0.7249054248902983,1
PROJ-1197,Site Phase 3 Development,INFRASTRUCTURE,Apex Build,2023330,2969710.5103598423,2022-08-29,145,2023-03-12,195,-946380.5103598423,-50,0.6813223015986266,1
PROJ-1198,Site Phase 6 Development,COMMERCIAL,Vertex Infra,2770935,4440839.214468493,2023-07-18,303,2024-07-20,368,-1669904.2144684931,-65,0.6239665221321558,1
PROJ-1199,Site Phase 1 Development,COMMERCIAL,Apex Build,800825,1104118.7974505676,2022-04-06,103,2022-08-30,146,-303293.7974505676,-43,0.725306916111854,1
PROJ-1200,Site Phase 2 Development,COMMERCIAL,Delta Partners,1360476,1648854.466806424,2024-06-18,117,2024-10-19,123,-288378.4668064241,-6,0.8251037477158499,1
PROJ-1202,Site Phase 1 Development,COMMERCIAL,Delta Partners,2735850,2878501.694380227,2023-04-30,305,2024-04-07,343,-142651.694380227,-38,0.950442379568951,1
PROJ-1203,Site Phase 7 Development,COMMERCIAL,Vertex Infra,6161700,7359715.2846807,2023-02-11,475,2024-06-03,478,-1198015.2846807,-3,0.8372198871368873,1
PROJ-1204,Site Phase 4 Development,RESIDENTIAL,Summit Const,6253850,7789465.008876306,2022-08-19,454,2023-12-10,478,-1535615.008876306,-24,0.8028600157871649,1
PROJ-1205,Site Phase 6 Development,INFRASTRUCTURE,Apex Build,2530845,3514356.598570652,2024-01-19,243,2024-09-27,252,-983511.5985706518,-9,0.7201446207904278,1
PROJ-1206,Site Phase 8 Development,INFRASTRUCTURE,Delta Partners,961093,1364081.7945902168,2023-10-17,103,2024-02-18,124,-402988.7945902168,-21,0.704571385536834,1
PROJ-1207,Site Phase 9 Development,RESIDENTIAL,Summit Const,1915992,2931245.797338522,2022-06-20,276,2023-04-22,306,-1015253.797338522,-30,0.6536442633844148,1
PROJ-1208,Site Phase 6 Development,RESIDENTIAL,Summit Const,4421426,4270387.118976872,2023-06-25,401,2024-08-17,419,151038.8810231276,-18,1.035368896733492,0
PROJ-1209,Site Phase 9 Development,INFRASTRUCTURE,Summit Const,6118460,6387086.254462966,2022-02-05,460,2023-06-26,506,-268626.25446296576,-46,0.957942284828976,1
PROJ-1210,Site Phase 4 Development,RESIDENTIAL,Apex Build,498336,784948.7627677716,2023-06-09,96,2023-11-20,164,-286612.7627677716,-68,0.6348643677618402,1
PROJ-1211,Site Phase 6 Development,COMMERCIAL,Delta Partners,1296740,2518422.948490612,2022-06-09,92,2022-12-06,180,-1221682.9484906122,-88,0.5149015977547322,1
PROJ-1212,Site Phase 8 Development,COMMERCIAL,Summit Const,1172200,1543745.713525782,2024-04-18,200,2024-11-29,225,-371545.7135257821,-25,0.759321946438184,1
PROJ-1213,Site Phase 9 Development,INFRASTRUCTURE,Delta Partners,5808656,7231624.193715894,2023-11-30,496,2025-04-18,505,-1422968.1937158937,-9,0.8032297924230606,1
PROJ-1214,Site Phase 3 Development,RESIDENTIAL,Summit Const,4667925,4518292.374246508,2022-08-31,327,2023-08-09,343,149632.62575349212,-16,1.0331170746289842,0
PROJ-1215,Site Phase 2 Development,RESIDENTIAL,Apex Build,2553348,3963313.331746505,2022-03-27,452,2023-08-20,511,-1409965.331746505,-59,0.6442458080584866,1
PROJ-1216,Site Phase 6 Development,INFRASTRUCTURE,Apex Build,2995952,4766373.863689105,2024-03-06,328,2025-04-05,395,-1770421.863689105,-67,0.6285600092816,1
PROJ-1217,Site Phase 4 Development,COMMERCIAL,Apex Build,4569081,4974526.557483786,2023-08-01,363,2024-08-12,377,-405445.5574837858,-14,0.918495649224382,1
PROJ-1218,Site Phase 1 Development,COMMERCIAL,Vertex Infra,5296124,6710078.159920659,2023-11-13,383,2025-04-13,517,-1413954.159920659,-134,0.7892790327888851,1
PROJ-1219,Site Phase 8 Development,RESIDENTIAL,Summit Const,1907376,1926218.6165799368,2023-07-11,316,2024-05-30,324,-18842.616579936817,-8,0.990217820335787,1
PROJ-1220,Site Phase 9 Development,COMMERCIAL,Vertex Infra,4200260,4363542.50161517,2023-07-28,460,2024-12-05,496,-163282.5016151704,-36,0.9625802884801211,1
PROJ-1221,Site Phase 9 Development,INFRASTRUCTURE,Delta Partners,743392,1141053.4937175964,2024-08-10,104,2025-01-23,166,-397661.4937175964,-62,0.6514961867195201,1
PROJ-1222,Site Phase 2 Development,COMMERCIAL,Vertex Infra,2938417,4800549.5165187605,2023-10-08,281,2024-11-07,396,-1862132.5165187605,-115,0.6121001335136456,1
PROJ-1223,Site Phase 9 Development,RESIDENTIAL,Delta Partners,2304432,3071235.386984584,2024-03-06,208,2024-12-02,271,-766803.3869845839,-63,0.7503273795834156,1
PROJ-1224,Site Phase 7 Development,COMMERCIAL,Delta Partners,869310,1523322.9189120964,2022-01-28,117,2022-08-06,190,-654012.9189120964,-73,0.5706669211153408,1
PROJ-1225,Site Phase 5 Development,RESIDENTIAL,Delta Partners,2001789,3099024.6609186465,2023-09-12,291,2024-07-31,323,-1097235.6609186465,-32,0.6459416168074661,1
PROJ-1226,Site Phase 7 Development,COMMERCIAL,Vertex Infra,1605376,3396251.3547923625,2023-07-10,128,2024-02-13,218,-1790875.3547923625,-90,0.4726905733095094,1
PROJ-1227,Site Phase 9 Development,COMMERCIAL,Summit Const,3715830,5300103.450583294,2022-12-06,530,2024-06-08,550,-1584273.450583294,-20,0.7010863155116455,1
PROJ-1228,Site Phase 8 Development,RESIDENTIAL,Vertex Infra,3031026,3862943.683381916,2024-03-08,362,2025-06-26,475,-831917.683381916,-113,0.7846415191190176,1
PROJ-1229,Site Phase 6 Development,RESIDENTIAL,Summit Const,3954240,4974986.686998367,2024-08-15,320,2025-08-19,369,-1020746.6869983673,-49,0.7948242374867078,1
PROJ-1231,Site Phase 1 Development,COMMERCIAL,Delta Partners,1386105,1500332.9438995903,2023-10-02,215,2024-06-06,248,-114227.94389959029,-33,0.9238649365368898,1
PROJ-1232,Site Phase 6 Development,RESIDENTIAL,Vertex Infra,3189411,3254357.2270672377,2023-05-21,389,2024-08-03,440,-64946.22706723772,-51,0.9800433011695627,1
PROJ-1233,Site Phase 3 Development,INFRASTRUCTURE,Summit Const,1297434,2136816.9996236465,2022-12-14,114,2023-05-15,152,-839382.9996236465,-38,0.6071806805302067,1
PROJ-1234,Site Phase 6 Development,COMMERCIAL,Apex Build,2930148,4601757.83040283,2023-04-18,234,2024-02-13,301,-1671609.8304028297,-67,0.6367453716580084,1
PROJ-1235,Site Phase 6 Development,RESIDENTIAL,Summit Const,1128018,1491395.920436928,2022-08-19,102,2022-12-19,122,-363377.92043692805,-20,0.7563504663936115,1
PROJ-1236,Site Phase 4 Development,RESIDENTIAL,Apex Build,2463083,2960312.8809188795,2022-07-09,301,2023-05-21,316,-497229.8809188795,-15,0.8320346865617327,1
PROJ-1237,Site Phase 2 Development,COMMERCIAL,Vertex Infra,1192668,1610868.5447175135,2022-08-13,114,2022-12-30,139,-418200.5447175135,-25,0.740388161350031,1
PROJ-1238,Site Phase 9 Development,INFRASTRUCTURE,Vertex Infra,1289912,1236347.0994967625,2023-01-20,157,2023-07-04,165,53564.9005032375,-8,1.0433251313688852,0
PROJ-1239,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,3929688,5046967.874267823,2023-01-12,483,2024-08-15,581,-1117279.874267823,-98,0.7786235414803567,1
PROJ-1240,Site Phase 3 Development,RESIDENTIAL,Summit Const,1297608,1373188.4117329535,2022-10-10,156,2023-03-26,167,-75580.41173295351,-11,0.9449599114825243,1
PROJ-1241,Site Phase 1 Development,COMMERCIAL,Apex Build,2505804,3730318.10249568,2024-08-15,322,2026-01-02,505,-1224514.10249568,-183,0.6717400315869984,1
PROJ-1242,Site Phase 7 Development,INFRASTRUCTURE,Summit Const,2808036,4574209.675629995,2023-09-25,198,2024-05-16,234,-1766173.6756299948,-36,0.6138844082640912,1
PROJ-1243,Site Phase 1 Development,INFRASTRUCTURE,Summit Const,2974395,3902377.441121841,2023-09-20,235,2024-06-03,257,-927982.4411218408,-22,0.7622007468208745,1
PROJ-1244,Site Phase 9 Development,COMMERCIAL,Delta Partners,1984000,3449087.171698726,2024-08-30,200,2025-06-01,275,-1465087.1716987258,-75,0.5752246612609826,1
PROJ-1245,Site Phase 1 Development,COMMERCIAL,Delta Partners,3589708,4575286.394490394,2024-01-15,317,2025-01-31,382,-985578.3944903938,-65,0.7845865133869571,1
PROJ-1246,Site Phase 5 Development,RESIDENTIAL,Summit Const,2265400,2968592.4155255565,2022-09-16,200,2023-05-13,239,-703192.4155255565,-39,0.7631226126402859,1
PROJ-1247,Site Phase 7 Development,COMMERCIAL,Apex Build,1650291,2227346.851928156,2022-12-25,123,2023-06-06,163,-577055.8519281559,-40,0.7409223213579809,1
PROJ-1249,Site Phase 9 Development,RESIDENTIAL,Summit Const,3603424,3757563.621630686,2023-04-01,353,2024-04-07,372,-154139.62163068587,-19,0.9589788391756376,1
PROJ-1250,Site Phase 8 Development,COMMERCIAL,Apex Build,2917431,5724174.170545432,2023-02-15,513,2025-03-31,775,-2806743.170545432,-262,0.5096684540124695,1
PROJ-1251,Site Phase 3 Development,INFRASTRUCTURE,Apex Build,2532282,4328678.839168107,2023-10-11,458,2025-07-04,632,-1796396.8391681071,-174,0.5850011271537664,1
PROJ-1252,Site Phase 5 Development,INFRASTRUCTURE,Vertex Infra,3271775,4429974.936477336,2022-11-14,325,2023-11-24,375,-1158199.936477336,-50,0.7385538399008814,1
PROJ-1253,Site Phase 7 Development,INFRASTRUCTURE,Summit Const,2249760,2946059.378172636,2023-11-08,172,2024-05-24,198,-696299.378172636,-26,0.7636505960024023,1
PROJ-1254,Site Phase 4 Development,COMMERCIAL,Summit Const,1377858,2734600.8424697835,2022-08-13,131,2023-02-20,191,-1356742.8424697835,-60,0.5038607385038224,1
PROJ-1255,Site Phase 5 Development,RESIDENTIAL,Apex Build,3676642,3502968.5108020026,2024-03-29,514,2025-09-03,523,173673.48919799738,-9,1.049578946731164,0
PROJ-1256,Site Phase 3 Development,RESIDENTIAL,Delta Partners,2752340,3104377.088198139,2022-08-22,190,2023-03-16,206,-352037.08819813887,-16,0.886599766008945,1
PROJ-1257,Site Phase 9 Development,COMMERCIAL,Delta Partners,1053930,1335678.990660756,2023-11-15,95,2024-03-06,112,-281748.9906607559,-17,0.7890593528603937,1
PROJ-1258,Site Phase 9 Development,COMMERCIAL,Delta Partners,3221006,4607373.034639952,2023-10-26,269,2024-08-19,298,-1386367.0346399518,-29,0.6990981576232863,1
PROJ-1260,Site Phase 2 Development,COMMERCIAL,Apex Build,3997566,4846759.807530449,2024-04-06,409,2025-08-05,486,-849193.8075304488,-77,0.8247914397963254,1
PROJ-1261,Site Phase 7 Development,COMMERCIAL,Apex Build,3997980,6499952.113152188,2023-01-09,315,2024-01-27,383,-2501972.1131521882,-68,0.6150783775637937,1
PROJ-1262,Site Phase 7 Development,RESIDENTIAL,Delta Partners,4310796,6032409.952461401,2023-11-03,532,2025-05-22,566,-1721613.952461401,-34,0.7146059425621544,1
PROJ-1263,Site Phase 5 Development,INFRASTRUCTURE,Delta Partners,3935760,4157512.486613509,2023-08-31,529,2025-03-05,552,-221752.48661350878,-23,0.9466622199386017,1
PROJ-1264,Site Phase 9 Development,INFRASTRUCTURE,Apex Build,3690540,4359725.977066018,2023-04-17,404,2024-06-24,434,-669185.9770660177,-30,0.846507330830833,1
PROJ-1266,Site Phase 4 Development,RESIDENTIAL,Summit Const,3243918,4662033.477020686,2023-11-23,318,2024-10-17,329,-1418115.4770206856,-11,0.6958161102852172,1
PROJ-1267,Site Phase 1 Development,INFRASTRUCTURE,Summit Const,2723304,3287678.365150952,2022-04-23,466,2023-11-12,568,-564374.3651509518,-102,0.8283365030067231,1
PROJ-1268,Site Phase 6 Development,RESIDENTIAL,Apex Build,2058588,2979630.512389013,2024-04-09,378,2025-06-04,421,-921042.5123890131,-43,0.6908870047613594,1
PROJ-1269,Site Phase 4 Development,RESIDENTIAL,Apex Build,4689290,5327371.853118917,2023-05-12,526,2024-11-22,560,-638081.853118917,-34,0.8802257715977999,1
PROJ-1270,Site Phase 1 Development,INFRASTRUCTURE,Vertex Infra,1938051,3057901.3174509336,2023-03-18,239,2024-01-10,298,-1119850.3174509336,-59,0.6337846773994522,1
PROJ-1271,Site Phase 2 Development,COMMERCIAL,Vertex Infra,2281644,2795588.8173573907,2023-07-18,366,2024-08-25,404,-513944.81735739065,-38,0.8161586517422074,1
PROJ-1272,Site Phase 3 Development,COMMERCIAL,Apex Build,3325469,5360041.614882497,2022-09-25,287,2023-10-19,389,-2034572.6148824971,-102,0.6204185039844884,1
PROJ-1273,Site Phase 9 Development,RESIDENTIAL,Summit Const,830934,1884849.9904541236,2023-05-25,159,2024-02-23,274,-1053915.9904541236,-115,0.44084887614838786,1
PROJ-1274,Site Phase 8 Development,RESIDENTIAL,Apex Build,1837743,2809566.5197564224,2024-03-17,201,2024-11-08,236,-971823.5197564224,-35,0.6541019716306004,1
PROJ-1275,Site Phase 7 Development,RESIDENTIAL,Apex Build,1133205,1981912.3559773057,2023-01-21,93,2023-05-23,122,-848707.3559773057,-29,0.571773517926933,1
PROJ-1276,Site Phase 4 Development,RESIDENTIAL,Summit Const,4634962,4721938.452897833,2023-01-22,439,2024-05-17,481,-86976.45289783273,-42,0.9815803501537688,1
PROJ-1277,Site Phase 1 Development,RESIDENTIAL,Vertex Infra,2178120,3437723.928705055,2022-04-23,420,2023-10-07,532,-1259603.9287050548,-112,0.6335936349666301,1
PROJ-1278,Site Phase 8 Development,RESIDENTIAL,Summit Const,4031225,4078367.562523977,2023-09-05,535,2025-03-16,558,-47142.5625239769,-23,0.9884408254525245,1
PROJ-1279,Site Phase 4 Development,INFRASTRUCTURE,Delta Partners,2821324,3456012.220538316,2023-09-17,407,2024-12-10,450,-634688.2205383158,-43,0.8163524374229627,1
PROJ-1280,Site Phase 3 Development,COMMERCIAL,Delta Partners,6163560,8144622.792799853,2024-08-09,439,2025-12-16,494,-1981062.7927998528,-55,0.7567643286621959,1
PROJ-1281,Site Phase 9 Development,INFRASTRUCTURE,Delta Partners,1293888,1912973.5110073544,2022-03-22,184,2022-11-24,247,-619085.5110073544,-63,0.6763752830631985,1
PROJ-1282,Site Phase 4 Development,COMMERCIAL,Apex Build,1506732,1921543.1161184532,2023-11-30,241,2024-08-21,265,-414811.1161184532,-24,0.784126042950117,1
PROJ-1283,Site Phase 4 Development,INFRASTRUCTURE,Vertex Infra,4203600,6862260.277634953,2022-04-23,400,2023-08-03,467,-2658660.277634953,-67,0.6125678464426814,1
PROJ-1284,Site Phase 9 Development,INFRASTRUCTURE,Vertex Infra,2276724,3333709.846336704,2022-01-02,226,2022-12-10,342,-1056985.8463367042,-116,0.6829400592561502,1
PROJ-1285,Site Phase 2 Development,RESIDENTIAL,Apex Build,2312016,3074567.15515677,2023-10-04,336,2024-09-29,361,-762551.1551567698,-25,0.7519809727109741,1
PROJ-1286,Site Phase 5 Development,COMMERCIAL,Apex Build,2508044,2846399.356603909,2022-08-08,476,2023-12-13,492,-338355.3566039088,-16,0.881128642114504,1
PROJ-1287,Site Phase 4 Development,RESIDENTIAL,Delta Partners,2201160,3184739.959238764,2023-07-20,332,2024-11-28,497,-983579.9592387639,-165,0.6911584707613412,1
PROJ-1288,Site Phase 9 Development,RESIDENTIAL,Delta Partners,1128600,1215846.6711293352,2024-05-04,120,2024-09-13,132,-87246.67112933518,-12,0.9282420446582328,1
PROJ-1289,Site Phase 5 Development,RESIDENTIAL,Apex Build,1436931,3383968.9209169266,2024-09-23,129,2025-05-02,221,-1947037.9209169266,-92,0.4246288998454059,1
PROJ-1290,Site Phase 9 Development,COMMERCIAL,Summit Const,2090532,3153210.3428495787,2024-01-06,318,2024-12-29,358,-1062678.3428495787,-40,0.6629852666634257,1
PROJ-1292,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,4104226,6950322.015328941,2023-01-20,497,2024-09-14,603,-2846096.015328941,-106,0.590508754982593,1
PROJ-1293,Site Phase 9 Development,RESIDENTIAL,Apex Build,2577744,2812462.9470064384,2023-02-07,312,2024-01-12,339,-234718.9470064384,-27,0.9165432749056227,1
PROJ-1294,Site Phase 3 Development,INFRASTRUCTURE,Vertex Infra,612275,944642.8439931738,2023-09-30,95,2024-02-13,136,-332367.8439931738,-41,0.6481550184742885,1
PROJ-1295,Site Phase 4 Development,RESIDENTIAL,Summit Const,4629093,6048852.030654521,2022-05-10,411,2023-07-19,435,-1419759.0306545207,-24,0.7652845492897774,1
PROJ-1296,Site Phase 1 Development,COMMERCIAL,Apex Build,4143999,5482425.579310735,2022-02-22,309,2023-02-15,358,-1338426.5793107348,-49,0.7558696310695739,1
PROJ-1297,Site Phase 1 Development,RESIDENTIAL,Vertex Infra,828528,1081504.8285335384,2023-11-15,164,2024-05-26,193,-252976.82853353838,-29,0.7660881192027953,1
PROJ-1300,Site Phase 8 Development,COMMERCIAL,Apex Build,2805117,3824971.486574539,2023-12-11,223,2024-08-23,256,-1019854.486574539,-33,0.7333693884636322,1
PROJ-1301,Site Phase 5 Development,RESIDENTIAL,Summit Const,1379862,1765135.5194527502,2023-02-20,207,2023-11-17,270,-385273.5194527502,-63,0.7817314788542709,1
PROJ-1302,Site Phase 5 Development,RESIDENTIAL,Delta Partners,5450658,6529188.157223127,2022-09-04,458,2023-12-31,483,-1078530.1572231269,-25,0.8348140486608633,1
PROJ-1304,Site Phase 3 Development,RESIDENTIAL,Apex Build,2996756,3660031.170703302,2023-03-15,524,2024-09-05,540,-663275.1707033021,-16,0.8187788191498246,1
PROJ-1305,Site Phase 3 Development,RESIDENTIAL,Vertex Infra,2053147,4304699.831569607,2022-07-22,151,2023-06-02,315,-2251552.8315696074,-164,0.4769547425682799,1
PROJ-1306,Site Phase 7 Development,RESIDENTIAL,Summit Const,6283150,8423746.345764665,2022-07-03,530,2024-01-13,559,-2140596.345764665,-29,0.7458854697303504,1
PROJ-1307,Site Phase 9 Development,RESIDENTIAL,Vertex Infra,2064202,2036889.3362366068,2022-05-03,283,2023-03-05,306,27312.663763393182,-23,1.0134090071942035,0
PROJ-1308,Site Phase 6 Development,RESIDENTIAL,Summit Const,5623512,6258918.143115103,2023-02-05,424,2024-04-18,438,-635406.1431151032,-14,0.8984798764601102,1
PROJ-1309,Site Phase 2 Development,RESIDENTIAL,Delta Partners,4210932,5934874.833422914,2024-02-06,292,2024-12-21,319,-1723942.8334229141,-27,0.709523303892723,1
PROJ-1310,Site Phase 1 Development,RESIDENTIAL,Apex Build,7099079,9105949.557304597,2022-10-21,481,2024-03-26,522,-2006870.5573045965,-41,0.7796088650969158,1
PROJ-1311,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,1090430,1407163.8373248945,2022-10-07,115,2023-02-28,144,-316733.8373248945,-29,0.7749133193139577,1
PROJ-1312,Site Phase 1 Development,RESIDENTIAL,Delta Partners,2985752,4335954.07657509,2024-04-16,524,2025-12-17,610,-1350202.0765750902,-86,0.6886032340910778,1
PROJ-1313,Site Phase 9 Development,RESIDENTIAL,Summit Const,3207666,4362087.083060073,2024-06-02,262,2025-03-30,301,-1154421.0830600727,-39,0.7353512066406918,1
PROJ-1314,Site Phase 8 Development,COMMERCIAL,Vertex Infra,5453002,7478996.369517404,2023-09-02,389,2024-10-17,411,-2025994.3695174037,-22,0.729108790883377,1
PROJ-1315,Site Phase 7 Development,RESIDENTIAL,Vertex Infra,2423796,3722610.970189356,2022-07-17,222,2023-04-12,269,-1298814.9701893558,-47,0.6511010737919547,1
PROJ-1316,Site Phase 3 Development,COMMERCIAL,Delta Partners,2219420,3093421.720091948,2024-09-08,415,2026-01-01,480,-874001.7200919478,-65,0.71746441346317,1
PROJ-1317,Site Phase 8 Development,INFRASTRUCTURE,Vertex Infra,5176626,6159895.575353503,2024-06-25,499,2025-11-26,519,-983269.5753535032,-20,0.840375609728242,1
PROJ-1318,Site Phase 2 Development,RESIDENTIAL,Apex Build,2663883,2811227.647599336,2023-05-26,207,2024-01-07,226,-147344.64759933623,-19,0.9475870807811804,1
PROJ-1319,Site Phase 2 Development,INFRASTRUCTURE,Apex Build,2191791,2346521.5329093533,2024-01-22,413,2025-03-26,429,-154730.53290935326,-16,0.9340596151625724,1
PROJ-1320,Site Phase 3 Development,RESIDENTIAL,Delta Partners,3063424,3977975.46794695,2022-05-24,364,2023-07-24,426,-914551.4679469499,-62,0.7700962523987224,1
PROJ-1321,Site Phase 7 Development,RESIDENTIAL,Summit Const,2955820,4182098.622216486,2023-09-01,301,2024-08-21,355,-1226278.622216486,-54,0.7067791238345866,1
PROJ-1322,Site Phase 1 Development,COMMERCIAL,Delta Partners,2687212,3524526.704837999,2022-07-20,314,2023-07-11,356,-837314.7048379988,-42,0.762432015711884,1
PROJ-1323,Site Phase 8 Development,RESIDENTIAL,Apex Build,1033102,1969285.3872359197,2022-05-04,109,2022-11-19,199,-936183.3872359197,-90,0.5246075590141139,1
PROJ-1324,Site Phase 7 Development,INFRASTRUCTURE,Apex Build,2329262,2978738.6928832605,2022-07-06,202,2023-04-18,286,-649476.6928832605,-84,0.7819625150621716,1
PROJ-1325,Site Phase 4 Development,RESIDENTIAL,Apex Build,2202980,2937946.2348532155,2022-11-22,229,2023-08-15,266,-734966.2348532155,-37,0.7498367307971054,1
PROJ-1326,Site Phase 5 Development,RESIDENTIAL,Vertex Infra,1085960,2081715.4398336883,2023-04-09,136,2023-12-15,250,-995755.4398336883,-114,0.5216659199524212,1
PROJ-1327,Site Phase 1 Development,RESIDENTIAL,Vertex Infra,1180080,1811241.230120951,2022-12-15,90,2023-04-03,109,-631161.2301209511,-19,0.6515311049545822,1
